-15.223,1.975,341.927
-15.158,1.774,342.554
-15.103,1.574,342.971
-15.039,1.374,343.323
-14.984,1.174,343.597
-14.929,0.974,343.608
-14.874,0.774,343.531
-14.809,0.573,343.279
-14.745,0.362,342.916
-14.690,0.162,342.312
-14.625,-0.050,341.554
-14.561,-0.250,340.609
-14.487,-0.450,339.598
-14.413,-0.650,338.610
-14.339,-0.851,337.577
-14.255,-1.051,336.434
-14.171,-1.252,334.929
-14.088,-1.441,333.083
-13.994,-1.619,330.787
-13.892,-1.809,327.953
-13.779,-1.988,324.723
-13.667,-2.155,321.427
-13.535,-2.312,317.681
-13.394,-2.469,314.044
-13.243,-2.614,310.188
-13.082,-2.749,306.486
-12.921,-2.873,302.970
-12.751,-2.986,299.520
-12.561,-3.099,296.060
-12.381,-3.189,292.599
-12.192,-3.269,289.149
-12.002,-3.337,285.952
-11.802,-3.395,282.634
-11.593,-3.442,279.591
-11.393,-3.477,276.768
-11.193,-3.502,273.999
-10.984,-3.526,271.307
-10.774,-3.528,268.682
-10.574,-3.519,266.287
-10.364,-3.511,263.859
-10.163,-3.491,261.991
-9.953,-3.471,260.310
-9.753,-3.429,259.244
-9.552,-3.398,258.025
-9.351,-3.356,256.904
-9.151,-3.313,255.894
-8.950,-3.260,255.575
-8.749,-3.218,255.432
-8.549,-3.165,255.311
-8.348,-3.112,255.135
-8.138,-3.070,254.938
-7.927,-3.005,254.729
-7.726,-2.952,254.531
-7.525,-2.899,254.344
-7.315,-2.846,254.136
-7.114,-2.793,253.982
-6.914,-2.740,253.916
-6.713,-2.675,253.938
-6.512,-2.622,254.026
-6.302,-2.569,254.048
-6.101,-2.505,254.136
-5.890,-2.451,254.180
-5.689,-2.398,254.213
-5.489,-2.345,254.257
-5.297,-2.281,254.290
-5.097,-2.239,254.312
-4.896,-2.174,254.290
-4.695,-2.121,254.180
-4.485,-2.068,254.070
-4.284,-2.015,253.916
-4.073,-1.950,253.795
-3.863,-1.886,253.630
-3.653,-1.833,253.510
-3.452,-1.769,253.367
-3.251,-1.716,253.246
-3.059,-1.651,253.136
-2.849,-1.598,253.048
-2.648,-1.534,252.949
-2.447,-1.481,252.850
-2.256,-1.416,252.762
-2.055,-1.363,252.675
-1.864,-1.299,252.565
-1.663,-1.245,252.444
-1.472,-1.181,252.334
-1.280,-1.117,252.224
-1.079,-1.063,252.081
-0.888,-0.999,251.730
-0.697,-0.935,251.180
-0.505,-0.870,250.587
-0.314,-0.806,250.027
-0.123,-0.741,249.368
0.069,-0.677,248.873
