-158.989,498.19,-133.32,10
-140.838,508.67,-142.92,10
-135.525,497.98,-131.79,10
-128.276,468.5,-102.42,10
-117.965,439.99,-74.63,10
-101.533,388.92,-24.36,10
-89.773,330.92,33.48,10
-76.563,278.4,86.68,10
-63.514,230.07,137.71,10
-52.881,183.2,172.97,10
-51.432,148.72,137.65,10
-47.887,129.07,119.46,10
-32.905,79.77,72.9,10
-19.856,40.62,36.3,10
-11.318,11.46,6.51,10
15.102,17.91,6.84,10
32.018,-13.99,175.5,10
-14.379,-34.61,149,10
-41.443,52.22,124.52,10
-62.386,113.6,62.48,10
-68.669,142.28,33.25,10
-80.752,194.63,19.27,10
-96.7,273.25,97.91,10
-112.488,342.2,166.83,10
-118.126,378.29,156.84,10
-133.431,420.17,114.21,10
-148.091,469.63,63.71,10
-152.763,487.67,44.6,10
-159.354,496.85,34.51,10
