-0.644,-1.926,20.006
-0.573,-1.728,22.039
-0.483,-1.542,23.643
-0.393,-1.355,24.917
-0.303,-1.169,26.104
-0.203,-0.972,27.356
-0.104,-0.796,28.553
0.004,-0.621,29.718
0.113,-0.446,30.861
0.222,-0.271,32.058
0.340,-0.097,33.267
0.468,0.078,34.332
0.586,0.253,35.398
0.713,0.416,36.365
0.841,0.579,37.167
0.968,0.743,37.859
1.105,0.917,38.452
1.242,1.080,39.100
1.379,1.232,39.672
1.515,1.385,40.320
1.652,1.548,40.891
1.799,1.711,41.517
1.945,1.874,42.133
2.091,2.015,42.638
2.237,2.166,43.220
2.393,2.318,43.792
2.548,2.481,44.297
2.704,2.633,44.780
2.850,2.773,45.165
2.996,2.914,45.516
3.151,3.055,45.846
3.307,3.195,46.088
3.453,3.336,46.187
3.617,3.477,46.208
3.763,3.617,46.143
3.919,3.758,45.901
4.065,3.899,45.461
4.220,4.050,44.670
4.376,4.191,43.605
4.531,4.343,42.495
4.677,4.495,41.111
4.814,4.647,39.792
4.951,4.810,38.397
5.078,4.973,37.134
5.206,5.137,35.793
5.333,5.300,34.222
5.451,5.464,32.662
5.569,5.639,31.168
5.678,5.814,29.927
5.777,5.989,28.784
5.886,6.164,27.543
5.985,6.339,26.466
6.075,6.525,25.829
6.165,6.712,25.334
6.264,6.887,24.807
6.344,7.074,24.291
6.434,7.260,23.763
6.524,7.447,23.137
6.604,7.633,22.511
6.685,7.820,21.808
6.775,8.007,21.083
6.855,8.205,20.347
6.927,8.403,19.896
7.007,8.589,19.962
