1.894,4.890,243.951
1.884,4.890,243.995
1.875,4.890,244.028
1.875,4.879,244.039
1.865,4.879,244.094
1.856,4.879,244.160
1.856,4.868,244.193
1.846,4.868,244.226
1.836,4.868,244.259
1.827,4.857,244.314
1.817,4.858,244.358
1.808,4.847,244.424
1.798,4.847,244.457
1.789,4.847,244.490
1.779,4.847,244.523
1.779,4.836,244.556
1.769,4.836,244.600
1.760,4.836,244.644
1.760,4.825,244.688
1.750,4.825,244.742
1.741,4.825,244.786
1.731,4.814,244.841
1.712,4.803,244.896
1.702,4.803,244.951
1.693,4.803,245.006
1.683,4.792,245.072
1.674,4.793,245.127
1.664,4.793,245.182
1.654,4.782,245.248
1.645,4.782,245.314
1.635,4.771,245.369
1.626,4.771,245.435
1.606,4.760,245.500
1.597,4.749,245.566
1.578,4.749,245.632
1.568,4.738,245.709
1.559,4.738,245.775
1.549,4.739,245.841
1.539,4.728,245.918
1.520,4.728,245.984
1.511,4.717,246.061
1.491,4.706,246.138
1.472,4.706,246.215
1.463,4.695,246.292
1.453,4.695,246.368
1.434,4.684,246.445
1.424,4.684,246.522
1.405,4.674,246.610
1.396,4.663,246.698
1.377,4.663,246.786
1.367,4.652,246.863
1.348,4.652,246.951
1.329,4.641,247.039
1.309,4.630,247.137
1.300,4.630,247.225
1.281,4.620,247.313
1.271,4.620,247.401
1.252,4.609,247.489
1.242,4.609,247.577
1.223,4.598,247.665
1.204,4.587,247.753
1.195,4.587,247.841
1.166,4.576,247.917
1.156,4.565,248.005
1.137,4.566,248.093
1.118,4.555,248.181
1.108,4.555,248.269
1.089,4.544,248.357
1.070,4.533,248.445
1.051,4.533,248.522
1.041,4.522,248.610
1.022,4.512,248.698
0.994,4.512,248.785
0.974,4.501,248.873
0.965,4.501,248.972
0.946,4.490,249.060
0.926,4.479,249.148
0.907,4.480,249.236
0.888,4.469,249.324
0.869,4.469,249.401
0.859,4.458,249.489
0.831,4.447,249.576
0.812,4.447,249.653
0.793,4.436,249.730
0.773,4.426,249.818
0.754,4.426,249.895
0.745,4.415,249.972
0.726,4.415,250.060
0.706,4.404,250.159
0.687,4.393,250.236
0.678,4.393,250.323
0.658,4.383,250.389
0.639,4.372,250.444
0.620,4.372,250.499
0.611,4.361,250.543
0.591,4.361,250.576
0.572,4.350,250.620
0.563,4.350,250.653
0.544,4.339,250.697
0.524,4.340,250.741
0.505,4.329,250.774
0.486,4.329,250.818
0.467,4.318,250.862
0.448,4.307,250.906
0.429,4.307,250.950
0.419,4.296,251.005
0.400,4.297,251.060
0.381,4.286,251.115
0.362,4.286,251.169
0.343,4.275,251.224
0.324,4.275,251.279
0.304,4.264,251.345
0.285,4.265,251.411
0.276,4.254,251.466
0.257,4.254,251.532
0.237,4.243,251.598
