19.349,-0.11,172.6,10
-7.721,-8.85,163.13,10
3.523,-41.62,60.35,10
10.325,-66.74,74.21,10
24.068,-106.03,111.34,10
34.202,-138.65,144.02,10
46.696,-176.27,178.05,10
54.608,-201.25,152.86,10
63.77,-231.1,123.15,10
73.487,-261.64,92.9,10
86.397,-301.76,52.91,10
97.78,-335.07,19.29,10
106.942,-364.92,-11.1,10
116.104,-389.91,-36.54,10
123.184,-412.4,-61.79,10
132.068,-436.97,-99.88,10
140.675,-461.26,-259.78,10
120.546,-472.5,-282.63,10
101.251,-410.73,-219.07,10
97.976,-411.93,-201.38,10
95.786,-412.84,-78.86,10
114.041,-472.45,-121.12,10
133.117,-532.05,-177.11,10
141.332,-558.7,-204.12,10
150.642,-589.28,-237.19,10
159.769,-618.85,-278.23,10
169.535,-648.61,-451.47,10
142.336,-657.46,-471.69,10
127.732,-616.75,-432.87,10
111.941,-573.94,-390.23,10
97.702,-527.12,-343.17,10
82.368,-488.69,-304.24,10
69.225,-448.99,-262.7,10
56.994,-412.48,-216.08,10
53.343,-398.33,-94.84,10
92.956,-386.83,-81.18,10
80.238,-344.67,-152.03,10
64.388,-295.86,-111.08,10
46.964,-240.23,-56.72,10
29.854,-185.44,-1.81,10
13.794,-133.69,50.43,10
-1.006,-86.67,98.06,10
-10.558,-56.23,128.86,10
-19.69,-26.73,158.27,10
-31.866,11.37,164,10
-46.771,59.45,115.27,10
-62.516,108.99,56.81,10
-72.697,142.79,10.16,10
-71.333,144.99,0.12,10
-71.858,148.67,2.64,10
-78.47,175.12,11.68,10
-88.757,222.67,49.87,10
-97.679,265.6,91.85,10
-109.015,319.03,146.53,10
-117.518,358.49,171.94,10
-121.926,378.44,150.8,10
-125.285,389.46,140.33,10
-130.428,406.99,124.61,10
-145.019,452.86,80.36,10
-154.99,484.03,49.48,10
-162.338,497.68,35.3,10
-169.476,509.01,22.9,10
-176.928,534.73,-4.2,10
-186.69,562.55,-32.65,10
-185.22,594.04,-63.4,10
-195.192,624.58,-91.94,10
-209.782,672.24,-137.26,10
-226.367,723.77,-187.64,10
-242.427,775.84,-240.03,10
-256.282,820.66,-285.43,10
-268.248,858.34,-323.5,10
-273.916,875.97,-341.11,10
-289.451,925.52,-390.33,10
-300.788,962.57,-427.05,10
-315.588,1009.91,-474.58,10
-327.869,1049.9,-515.14,10
-339.625,1087.06,-553.98,10
-345.293,1105.43,-580.64,10
-356.569,1148.05,-774.57,10
-256.882,1175.59,-809.41,10
-247.732,1156.41,-789.93,10
-243.848,1144.86,-775.37,10
-236.815,1123.66,-749.85,10
-231.462,1104.77,-714.73,10
-230.622,1101.3,-621.31,10
-312.496,1074.96,-585.74,10
-300.634,1034.02,-665.36,10
-280.074,971.34,-607.74,10
-259.384,907.16,-544.43,10
-235.738,826.08,-463.42,10
-213.571,750.92,-388.01,10
-191.614,685.48,-321.7,10
-177.891,641.98,-274.72,10
-164.59,605.67,-234.45,10
-163.323,569.15,-195.62,10
-160.579,551.2,-178.67,10
-153.611,533.04,-163.76,10
-142.211,512.57,-146.94,10
-129.332,487.65,-123.06,10
-114.343,444.16,-79.18,10
-98.297,396.03,-30.09,10
-94.286,366.26,0.52,10
-85.207,330.58,36.37,10
-78.874,300.6,66.05,10
-66.629,255.84,111.4,10
-57.339,221.64,152.81,10
-50.372,198.41,169.16,10
-49.528,170.33,129.59,10
-53.117,149.01,115.51,10
-45.939,129.59,110.02,10
-36.86,96.44,86.4,10
-30.104,74.06,65.72,10
-22.293,52.95,44.29,10
-16.592,29.3,21.3,10
-13.637,23.18,16.3,10
13.176,29.94,23.98,10
20.565,2.7,2.71,10
