x,y,heading,curvature,signed_curvature,dist_origin,p2p_distance,direction
-341.637,1121.989,162.46600000000001,0.016554101014565999,-0.016554101014565999,0,0,1
-341.48807081749391,1121.5116959153936,162.843729779141,0.0098162187349126705,-0.0098162187349126705,0.5,0.49999909058308911,1
-341.34148588717289,1121.0336659605116,163.02843145899107,0.0030785304379690299,-0.0030785304379690299,1,0.49999977956165809,1
-341.19568261711754,1120.5553967851176,163.0463561794474,0.00073482768092171145,0.00073482768092171145,1.5,0.49999999769085424,1
-341.04971333484912,1120.0771782660793,162.99565919815853,0.0028044956165680958,0.0028044956165680958,2,0.49999998331720519,1
-340.90307850264588,1119.5991634617747,162.89152994161788,0.0035055102466943601,0.0035055102466943601,2.5,0.49999992714965019,1
-340.75566887620784,1119.1213869710355,162.82705200141328,0.00099591089946437215,0.00099591089946437215,3,0.49999997306965782,1
-340.60802134809575,1118.6436839183484,162.83446804704309,0.0015136487267889884,-0.0015136487267889884,3.5,0.49999999910413412,1
-340.46060573441554,1118.1659092526093,162.86336435731425,0.00021958197117116502,-0.00021958197117116502,4,0.49999999437888043,1
-340.31324250752186,1117.6881184224555,162.84672057144869,0.0013815377384695795,0.0013815377384695795,4.5,0.49999999801948602,1
-340.16557506760279,1117.2104215400209,162.79920546391656,0.0012906226177924187,0.0012906226177924187,5,0.49999998430004389,1
-340.01760542029143,1116.7328181683481,162.77846518159885,0.00015732279585681312,0.00015732279585681312,5.5,0.49999999715865978,1
-339.86959622141887,1116.2552270500457,162.78791625588281,0.00046944330888745847,-0.00046944330888745847,6,0.49999999923220551,1
-339.72167833561736,1115.7776076421821,162.79446121041076,1.2519372750885044e-05,1.2519372750885044e-05,6.5,0.49999999970795311,1
-339.57375745764563,1115.2999891522318,162.78719562945349,0.00052259216398093972,0.00052259216398093972,7,0.50000000808240164,1
-339.42558188510617,1114.8224496679543,162.7173629662243,0.0043526670025239387,0.0043526670025239387,7.5,0.49999995934140162,1
-339.27636742421595,1114.3452339528126,162.53780427292332,0.0081829161606387351,0.0081829161606387351,8,0.49999979411693102,1
-339.12527899184062,1113.8686084427527,162.2869393282545,0.0083122852531224128,0.0083122852531224128,8.5,0.49999959123730459,1
-338.97221513526688,1113.392613538455,162.0670838745105,0.0070365489517314247,0.0070365489517314247,9,0.49999969310655534,1
-338.81750341554402,1112.9171515510197,161.9052976646291,0.0023077831198937047,0.0023077831198937047,9.5,0.4999998177154098,1
-338.66229976228431,1112.4418497614668,161.9711229930048,0.0069033964954666217,-0.0069033964954666217,10,0.49999996513743322,1
-338.50873477149526,1111.9660166965189,162.29413890070663,0.013293849711298562,-0.013293849711298562,10.5,0.49999931209327275,1
-338.35794359971544,1111.4892971168542,162.56325038525648,0.005493795621933209,-0.005493795621933209,11,0.49999953512213702,1
-338.20846238217047,1111.0121646959421,162.60891942135885,0.0023054268373914281,0.0023054268373914281,11.5,0.49999998148415437,1
-338.05862956444247,1110.535142616857,162.51026661574042,0.0039902506868757289,0.0039902506868757289,12,0.49999993720302199,1
-337.90784558312663,1110.0584203862293,162.38120255706502,0.0050201144501840064,0.0050201144501840064,12.5,0.49999989419612195,1
