x,y,heading,curvature,signed_curvature,dist_origin,p2p_distance,direction
-345.43900000000002,1119.559,161.99299999999999,0.027999229656295383,-0.027999229656295383,0,0,1
-345.28731846353469,1119.0825652228771,162.63351308471792,0.016715700574094911,-0.016715700574094911,0.5,0.49999738534979887,1
-345.13962359087338,1118.6048774850333,162.95074590948431,0.0054320336814417764,-0.0054320336814417764,1,0.49999935029632497,1
-344.99318827590497,1118.1268014669211,162.92555060445105,0.007723976866722158,0.007723976866722158,1.5,0.49999998056394668,1
-344.84490557355872,1117.6492963866885,162.50511934100439,0.021628468685082679,0.021628468685082679,2,0.49999886146166056,1
-344.69155399114743,1117.1733977196175,161.77121919763658,0.019219835269604441,0.019219835269604441,2.5,0.49999624913400659,1
-344.5340933092869,1116.6988390001993,161.66463645765725,0.01177830504288519,-0.01177830504288519,3,0.49999984450775753,1
-344.37943165040525,1116.2233646990519,162.44623026985715,0.042789081043821557,-0.042789081043821557,3.5,0.49999603976396301,1
-344.23232535046503,1115.7454982060615,163.16057404109603,0.0068933063549142613,-0.0068933063549142613,4,0.49999664859382847,1
-344.08686651489114,1115.2671249549876,162.84131080029118,0.029184407559615808,0.029184407559615808,4.5,0.49999924018893788,1
-343.9361737065031,1114.7903769202733,162.16210929786368,0.014498283856691227,0.014498283856691227,5,0.4999970110949078,1
-343.78202878042754,1114.3147308609857,162.01483174899414,0.0042157424309043397,-0.0042157424309043397,5.5,0.49999983195059239,1
-343.62842502498984,1113.8389098533132,162.2119752707242,0.0075514741969497602,-0.0075514741969497602,6,0.49999974502696704,1
-343.47661742393439,1113.3625128415988,162.44323346042307,0.0085933460811665457,-0.0085933460811665457,6.5,0.49999966050853045,1
-343.32675800170279,1112.8854993613822,162.65257062970335,0.0044495218616281288,-0.0044495218616281288,7,0.49999970673981342,1
-343.17795187262749,1112.4081559585206,162.68838484354825,0.001949167036474807,0.001949167036474807,7.5,0.49999998830587178,1
-343.02870675793298,1111.9309497337633,162.55863314535989,0.0060125324853585686,0.0060125324853585686,8,0.49999988520728844,1
