x,y,heading,curvature,signed_curvature,dist_origin,p2p_distance,direction
-280.69200000000001,1199.8109999999999,160.57599999999996,0.061701017654061593,-0.061701017654061593,0,0,1
-280.53152869872775,1199.3374608982488,161.80314755305608,0.023961012422327347,-0.023961012422327347,0.5,0.49999031932558768,1
-280.37673966723816,1198.8620241547872,161.94907616482209,0.013770521605210299,0.013770521605210299,1,0.49999974130280606,1
-280.21932375802811,1198.3874530149694,161.36955066728387,0.013602912142718455,0.013602912142718455,1.5,0.49999753521424578,1
-280.05877705389253,1197.9139293558051,161.26854882632793,0.006551931798552393,-0.006551931798552393,2,0.4999998999971908,1
-279.89969778434124,1197.4399118268302,161.66800130490748,0.013299039344375436,-0.013299039344375436,2.5,0.49999883177503296,1
-279.74348860736103,1196.9649397774992,161.8583808238842,7.6703202050803542e-06,7.6703202050803542e-06,3,0.49999975461843871,1
-279.58728581822669,1196.4899656120599,161.68099188278995,0.0090770252231961931,0.0090770252231961931,3.5,0.49999976916808642,1
-279.42928647697147,1196.0155860088933,161.5046712096414,0.0032324109047604183,0.0032324109047604183,4,0.49999979973759484,1
-279.27052058184432,1195.5414621990308,161.4957870490814,0.0026121081791940217,-0.0026121081791940217,4.5,0.4999999965340336,1
-279.11235178845277,1195.0671390100281,161.64579078034913,0.0078264018014353141,-0.0078264018014353141,5,0.49999985482859949,1
-278.95604047276174,1194.5922009033404,161.94418935366258,0.013005899323137803,-0.013005899323137803,5.5,0.49999943259679674,1
-278.80272733536606,1194.1162869623204,162.3274371044059,0.0098605809490472807,-0.0098605809490472807,6,0.49999899735434156,1
-278.65169891567564,1193.6396421313225,162.46032071502486,0.00058337151680728041,0.00058337151680728041,6.5,0.49999987847117222,1
-278.50059074091473,1193.1630225745125,162.33476108267405,0.0056041905076232067,0.0056041905076232067,7,0.49999988241328613,1
-278.34819173005059,1192.6868142432102,162.17269535989811,0.005710099314645143,0.005710099314645143,7.5,0.49999983331411957,1
-278.19447741888973,1192.2110288059896,162.04111628423098,0.00084602486392920141,0.00084602486392920141,8,0.49999987172680432,1
-278.04062385495365,1191.7352883604472,162.16655795914949,0.0096036642291549221,-0.0096036642291549221,8.5,0.4999998906607433,1
-277.88900618715121,1191.2588315522196,162.54142467552208,0.010508284717342126,-0.010508284717342126,9,0.4999990072952667,1
-277.7396280078159,1190.7816669044084,162.61785850966749,0.0051720553478858851,0.0051720553478858851,9.5,0.49999994158226957,1
-277.58905229143863,1190.3048795729067,162.28340549610715,0.012890718837586912,0.012890718837586912,10,0.49999920584248525,1
-277.43568153671481,1189.8289835812125,162.02888427544971,0.0048783173301881269,0.0048783173301881269,10.5,0.49999958331497596,1
-277.28115031213321,1189.3534627213028,162.00389113535937,0.0031334380129543144,-0.0031334380129543144,11,0.49999998757994385,1
-277.12707411733442,1188.8777942799293,162.10346531698633,0.0038110129544652325,-0.0038110129544652325,11.5,0.49999993992236613,1
-276.97390459935366,1188.401833137413,162.22224565894317,0.0044814085774000801,-0.0044814085774000801,12,0.49999991042389552,1
-276.82170825695107,1187.9255598831878,162.31675789603207,0.001249459281456677,-0.001249459281456677,12.5,0.49999993933092202,1
-276.66980728417667,1187.4491922852321,162.29028463932141,0.003097629761758822,0.003097629761758822,13,0.49999999391187933,1
-276.5172935998221,1186.9730205489036,162.20830682856825,6.6278110243597703e-05,6.6278110243597703e-05,13.5,0.49999994639352535,1
-276.36478284677759,1186.4968478853662,162.30595571975982,0.0068835237330915457,-0.0068835237330915457,14,0.499999935294553,1
-276.21384290422037,1186.0201753482434,162.55079896326413,0.0062818402835788847,-0.0062818402835788847,14.5,0.49999957390607624,1
-276.06431272833407,1185.543058275372,162.60489587427554,0.0025050967741345759,0.0025050967741345759,15,0.49999997472591301,1
-275.9141995878972,1185.0661245111489,162.42701403685305,0.0060711915003753801,0.0060711915003753801,15.5,0.49999977038776061,1
-275.76295228171603,1184.5895489765749,162.41044271105616,0.0049143410049747082,-0.0049143410049747082,16,0.49999998778162019,1
-275.61287665334669,1184.112603774739,162.7085955377986,0.015882217094583442,-0.015882217094583442,16.5,0.49999941978436435,1
-275.46570546678316,1183.6347543278491,163.00093310850301,0.0045269197535214474,-0.0045269197535214474,17,0.49999945204717727,1
-275.31961611906212,1183.1565724749942,162.96797962226742,0.006827492168691913,0.006827492168691913,17.5,0.49999998191736195,1
-275.17221386068138,1182.6787939911876,162.76388602350704,0.0037097538969911538,0.0037097538969911538,18,0.49999970536414995,1
-275.02393861144151,1182.2012854110169,162.77375965527582,0.004399091830015342,-0.004399091830015342,18.5,0.49999999367379039,1
-274.87666343286185,1181.7234677357098,162.97435165693261,0.0058853922090045356,-0.0058853922090045356,19,0.49999970906142116,1
-274.73068823272445,1181.2452510410651,163.04271205944917,0.0011128972859631668,0.0011128972859631668,19.5,0.49999996609209646,1
-274.58444740926245,1180.7671155925595,162.91196825899715,0.0072562360196143103,0.0072562360196143103,20,0.49999988556443681,1
-274.43668367757192,1180.2894487348183,162.71246723061347,0.0066715777276597403,0.0066715777276597403,20.5,0.49999974738746555,1
-274.28732736073988,1179.8122774043322,162.52971391459096,0.0060870334971481147,0.0060870334971481147,21,0.49999978801540951,1
-274.13660409719216,1179.3355359738964,162.40396663923013,0.0017957098275195988,0.0017957098275195988,21.5,0.49999989366845787,1
-273.98545556307249,1178.8589290987645,162.4309194696977,0.0036773851889853573,-0.0036773851889853573,22,0.49999999278951257,1
-273.83515890283962,1178.382053086221,162.59113071027201,0.0048190582292906656,-0.0048190582292906656,22.5,0.49999981741648164,1
-273.68590310170293,1177.9048501052955,162.64402331786619,0.0011264391066165525,0.0011264391066165525,23,0.49999997917717592,1
-273.53637857335593,1177.4277313309467,162.52658975469095,0.0070719989392314282,0.0070719989392314282,23.5,0.49999990941349554,1
-273.38562371939986,1176.9509998765529,162.40698621883701,0.001007663459596385,0.001007663459596385,24,0.49999990559969509,1
-273.23462867542702,1176.4743443732334,162.46894301622297,0.0053330432830922354,-0.0053330432830922354,24.5,0.49999997214915831,1
-273.08476871815941,1175.9973309590623,162.63010792789333,0.0020278328592406359,-0.0020278328592406359,25,0.49999980409137745,1
-272.93535026695002,1175.5201789133732,162.54745660953577,0.007798134176882526,0.007798134176882526,25.5,0.49999994826708383,1
-272.78407892203398,1175.043611866161,162.19470028315314,0.013566310754978756,0.013566310754978756,26,0.49999917028062829,1
