-344.2858519,1087.777369
-339.38285,1089.318313
-324.6617075,1039.641061
-319.9983609,1026.074962
-314.9716365,1010.570848
-308.6730903,991.6752096
-299.2252711,960.969797
-290.0802666,932.2629616
-282.8127133,909.1279171
-273.7888347,879.8760152
-268.1564809,861.8888208
-261.4945571,841.6607976
-255.9227662,823.4313514
-249.1397165,801.0836251
-241.3270967,776.4950699
-233.0905364,751.2403223
-226.3074866,728.1052778
-219.6455628,707.0899362
-213.8315202,688.7999272
-208.1386035,670.3282293
-201.4766797,649.3734507
-196.2077035,631.810197
-189.6063426,611.3399219
-186.0936919,599.409022
-184.5796183,593.3527276
-184.7613071,586.6302408
-184.882433,576.1528515
-184.6401812,563.6163221
-184.0951148,559.0135384
-181.7331599,551.9882369
-178.3863003,541.9940707
-173.1801582,526.135361
-167.0128822,510.6771238
-162.5275906,501.6264461
-153.4769128,484.886697
-148.0304873,467.9066644
-140.9821719,444.5991668
-132.6523446,417.8476061
-121.3242137,384.6994754
-135.7524108,376.5032887
-201.3354548,530.0272325
-302.0565059,810.491308
-383.7513413,1072.814174
-351.3063562,1085.861064
